"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1182","NOW THATS A SIGN #Obamagate #Savethekids #pizzagate https://t.co/J7CqFOIisw",FALSE,1,NA,2020-06-12 04:29:10,FALSE,NA,"1271298476249235458",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PatriotQJr",1,FALSE,FALSE,NA,NA
"1183","RT @MoonWyfe_Q: Why is nobody talking about this??!!! #adrenochrome #pizzagate these people are SICK!! https://t.co/I1fDWBFCeg",FALSE,0,NA,2020-06-12 04:29:03,FALSE,NA,"1271298445236752384",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NicePastaYT",37,TRUE,FALSE,NA,NA
"1184","RT @IamShivaR: @MayorJenny @SeattlePD @carmenbest Who funds #BlackLivesMatter ? 

ANSWER: @HillaryClinton and the @ClintonFdn , who also fu…",FALSE,0,NA,2020-06-12 04:28:41,FALSE,NA,"1271298352509005824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IamShivaR",1,TRUE,FALSE,NA,NA
"1185","RT @_WhiteRabbitt_: 675,000 Emails!?

Anthony Wiener Laptop?

If you think #OBAMAGATE is bad, wait till the public hears about #PIZZAGATE .…",FALSE,0,NA,2020-06-12 04:28:39,FALSE,NA,"1271298345936408576",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MaryfromMarin",5292,TRUE,FALSE,NA,NA
"1186","#Proof That #PizzaGate Is Real  #WARNING ADULT CONTENT https://t.co/nTzyKxIa83 via @YouTube #HillaryEmails… https://t.co/635A5xxeWz",FALSE,2,NA,2020-06-12 04:28:36,TRUE,NA,"1271298329864003585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","at98360411",1,FALSE,FALSE,NA,NA
"1187","ARREST #humantrafficking #cannibal #pedophile #adrenochrome #pizzagate #EpsteinIsland #GhislaineMaxwell #GITMOBound… https://t.co/KstFtalHHl",FALSE,1,NA,2020-06-12 04:28:21,TRUE,NA,"1271298267859439619",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brownieswithj",1,FALSE,FALSE,NA,NA
"1188","@MayorJenny @SeattlePD @carmenbest Who funds #BlackLivesMatter ? 

ANSWER: @HillaryClinton and the @ClintonFdn , wh… https://t.co/X8sV9mEG7I",FALSE,1,"MayorJenny",2020-06-12 04:28:17,TRUE,"1271227240211083264","1271298250386165760","931187167811985409","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IamShivaR",1,FALSE,FALSE,NA,NA
"1189","ugh i just want people to know what’s happening with these kids, it breaks my heart, i can’t imagine myself in that… https://t.co/HUcBIVp89q",FALSE,7,NA,2020-06-12 04:28:13,TRUE,NA,"1271298236976939008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amanda_nicolex",2,FALSE,FALSE,NA,NA
"1190","RT @DansahRs: NUEVO HILO 
#PizzaGate (3)

Continuando con el tema de #JustinBeiber sobre lo involucrado que está en este delicado tópico, a…",FALSE,0,NA,2020-06-12 04:28:11,FALSE,NA,"1271298227816431616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Elidethjmnz",3,TRUE,FALSE,NA,NA
"1191","RT @DansahRs: NUEVO HILO 
*#PizzaGate (2) 

Continuando el hilo anterior donde te hablé sobre algunos origines de este término, ahora conti…",FALSE,0,NA,2020-06-12 04:28:06,FALSE,NA,"1271298203778871296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Elidethjmnz",2,TRUE,FALSE,NA,NA
"1192","RT @malayalex07: Y’all see this picture ?? This photo is a 10 year old little girl that was killed by Hilary Clinton . She slit her stomach…",FALSE,0,NA,2020-06-12 04:28:01,FALSE,NA,"1271298184900476928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jocvgarcia",11,TRUE,FALSE,NA,NA
"1193","#PizzaGateIsReal #PIZZAGATE https://t.co/J8wUgSXobo",FALSE,0,NA,2020-06-12 04:27:43,FALSE,NA,"1271298109994414082",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","l6rin",0,FALSE,FALSE,NA,NA
"1194","RT @goth_joji: Hillary was in court for hundreds of thousands of deleted pedo emails and a videos found on a laptop by the NYPD that showed…",FALSE,0,NA,2020-06-12 04:27:43,FALSE,NA,"1271298109662887941",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xxkxtiexx",726,TRUE,FALSE,NA,NA
"1195","RT @MazurikL: HRC lost her appeal &amp; WILL testify in September! 675,000 emails on Anthony Weiner’s laptop include the Clinton Foundation &amp; t…",FALSE,0,NA,2020-06-12 04:27:42,FALSE,NA,"1271298105342820352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lordhaha67",1579,TRUE,FALSE,NA,NA
"1196","RT @_WhiteRabbitt_: 675,000 Emails!?

Anthony Wiener Laptop?

If you think #OBAMAGATE is bad, wait till the public hears about #PIZZAGATE .…",FALSE,0,NA,2020-06-12 04:27:42,FALSE,NA,"1271298104826884096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShaktiForTrump",5292,TRUE,FALSE,NA,NA
"1197","RT @_WhiteRabbitt_: 675,000 Emails!?

Anthony Wiener Laptop?

If you think #OBAMAGATE is bad, wait till the public hears about #PIZZAGATE .…",FALSE,0,NA,2020-06-12 04:27:40,FALSE,NA,"1271298098585726982",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shercomike",5292,TRUE,FALSE,NA,NA
"1198","RT @_WhiteRabbitt_: 675,000 Emails!?

Anthony Wiener Laptop?

If you think #OBAMAGATE is bad, wait till the public hears about #PIZZAGATE .…",FALSE,0,NA,2020-06-12 04:27:35,FALSE,NA,"1271298076293115904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DianaLDAngelo1",5292,TRUE,FALSE,NA,NA
"1199","RT @westkmedia: Hillary needs to pay for her crimes. I’ve heard a bit about the emails #FRAZZLEDRIP in particular. People are going to be s…",FALSE,0,NA,2020-06-12 04:27:24,FALSE,NA,"1271298029379883013",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CarolLovesTrump",3,TRUE,FALSE,NA,NA
"1200","#PizzaGateIsReal #pizzagate #GreatAwakening https://t.co/xDUASYJmcq",FALSE,3,NA,2020-06-12 04:27:17,FALSE,NA,"1271298001898582016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Melanacherry",2,FALSE,FALSE,NA,NA
"1201","RT @BreesAnna: For anyone wanting to investigate #pizzagate this is a good place to start. For background go here https://t.co/ql8CnBV3Qh @…",FALSE,0,NA,2020-06-12 04:27:14,FALSE,NA,"1271297986153324544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MicahJareo1",70,TRUE,FALSE,NA,NA
